"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","0.702800","0.684050","0.705200","0.679300","","2.75%"
"08/01/2024","0.684000","0.666700","0.705800","0.662700","","2.46%"
"07/01/2024","0.667600","0.621400","0.668350","0.617300","","7.43%"
"06/01/2024","0.621400","0.635650","0.647050","0.620050","","-2.23%"
"05/01/2024","0.635600","0.634000","0.658500","0.632800","","0.30%"
"04/01/2024","0.633700","0.660900","0.663050","0.624850","","-4.06%"
"03/01/2024","0.660500","0.666750","0.682650","0.657950","","-0.93%"
"02/01/2024","0.666700","0.680750","0.685450","0.662700","","-2.06%"
"01/01/2024","0.680700","0.710050","0.710150","0.671950","","-3.98%"
"12/01/2023","0.708900","0.674800","0.713050","0.674050","","5.07%"
"11/01/2023","0.674700","0.659100","0.681850","0.658100","","2.35%"
"10/01/2023","0.659200","0.669000","0.678500","0.658900","","-1.51%"
"09/01/2023","0.669300","0.687050","0.692350","0.667800","","-2.58%"
"08/01/2023","0.687000","0.702700","0.706650","0.678500","","-2.23%"
"07/01/2023","0.702700","0.692700","0.728600","0.689900","","1.43%"
"06/01/2023","0.692800","0.717650","0.722250","0.689250","","-3.46%"
"05/01/2023","0.717600","0.733700","0.749050","0.709500","","-2.18%"
"04/01/2023","0.733600","0.751950","0.765500","0.732200","","-2.56%"
"03/01/2023","0.752900","0.734100","0.771300","0.725050","","2.57%"
"02/01/2023","0.734000","0.768700","0.780750","0.730200","","-4.49%"
"01/01/2023","0.768500","0.762600","0.786050","0.741900","","0.79%"
"12/01/2022","0.762500","0.724300","0.765850","0.723650","","5.27%"
"11/01/2022","0.724300","0.672450","0.727300","0.671950","","7.73%"
"10/01/2022","0.672300","0.691850","0.696800","0.658100","","-2.66%"
"09/01/2022","0.690700","0.719550","0.719800","0.685350","","-4.02%"
"08/01/2022","0.719600","0.750650","0.766850","0.719000","","-4.13%"
"07/01/2022","0.750600","0.736800","0.754700","0.717350","","1.90%"
"06/01/2022","0.736600","0.777300","0.777400","0.729850","","-5.19%"
"05/01/2022","0.776900","0.770550","0.791400","0.761300","","0.88%"
"04/01/2022","0.770100","0.821900","0.821900","0.761850","","-6.27%"
"03/01/2022","0.821600","0.869500","0.872250","0.799300","","-5.50%"
"02/01/2022","0.869400","0.868600","0.876000","0.859450","","0.09%"
"01/01/2022","0.868600","0.868850","0.881300","0.859400","","-0.01%"
"12/01/2021","0.868700","0.883600","0.888450","0.868000","","-1.68%"
"11/01/2021","0.883500","0.877350","0.888650","0.865550","","0.74%"
"10/01/2021","0.877000","0.898650","0.902300","0.871800","","-2.39%"
"09/01/2021","0.898500","0.908900","0.916550","0.892200","","-1.12%"
"08/01/2021","0.908700","0.911600","0.919800","0.902500","","-0.29%"
"07/01/2021","0.911300","0.900050","0.916900","0.895550","","1.27%"
"06/01/2021","0.899900","0.912650","0.915900","0.899900","","-1.40%"
"05/01/2021","0.912700","0.915200","0.923050","0.907350","","-0.24%"
"04/01/2021","0.914900","0.903000","0.930450","0.902100","","1.31%"
"03/01/2021","0.903100","0.938400","0.940200","0.901150","","-3.72%"
"02/01/2021","0.938000","0.955350","0.957800","0.937200","","-1.78%"
"01/01/2021","0.955000","0.968450","0.974800","0.952800","","-1.37%"
"12/01/2020","0.968300","0.958650","0.972050","0.954550","","0.99%"
"11/01/2020","0.958800","0.956250","0.969300","0.946150","","0.36%"
"10/01/2020","0.955400","0.948150","0.961300","0.942350","","0.74%"
"09/01/2020","0.948400","0.944050","0.961500","0.938400","","0.46%"
"08/01/2020","0.944100","0.944450","0.951500","0.934050","","-0.04%"
"07/01/2020","0.944500","0.926500","0.959900","0.924500","","1.95%"
"06/01/2020","0.926400","0.928200","0.942800","0.910250","","-0.11%"
"05/01/2020","0.927400","0.932950","0.943600","0.925150","","-0.58%"
"04/01/2020","0.932800","0.929850","0.940250","0.914150","","0.33%"
"03/01/2020","0.929700","0.931150","0.988250","0.895050","","0.50%"
"02/01/2020","0.925100","0.922400","0.930200","0.891050","","0.29%"
"01/01/2020","0.922400","0.920600","0.929000","0.906700","","0.21%"
"12/01/2019","0.920500","0.912950","0.922300","0.910700","","0.81%"
"11/01/2019","0.913100","0.925350","0.926900","0.911800","","-1.34%"
"10/01/2019","0.925500","0.925250","0.939150","0.914950","","0.03%"
"09/01/2019","0.925200","0.941250","0.945750","0.921800","","-1.64%"
"08/01/2019","0.940600","0.919150","0.957350","0.914750","","2.31%"
"07/01/2019","0.919400","0.925050","0.932750","0.917400","","-0.79%"
"06/01/2019","0.926700","0.922700","0.936500","0.919050","","0.36%"
"05/01/2019","0.923400","0.897450","0.923600","0.895400","","2.91%"
"04/01/2019","0.897300","0.902500","0.902500","0.889600","","-0.52%"
"03/01/2019","0.902000","0.897700","0.911500","0.891750","","0.48%"
"02/01/2019","0.897700","0.918450","0.919800","0.896800","","-2.24%"
"01/01/2019","0.918300","0.912600","0.952600","0.909050","","0.64%"
"12/01/2018","0.912500","0.881250","0.912850","0.878200","","3.56%"
"11/01/2018","0.881100","0.885400","0.890500","0.875600","","-0.47%"
"10/01/2018","0.885300","0.879550","0.897850","0.872950","","0.67%"
"09/01/2018","0.879400","0.900200","0.905950","0.879400","","-2.32%"
"08/01/2018","0.900300","0.893850","0.911000","0.891600","","0.74%"
"07/01/2018","0.893700","0.903300","0.906800","0.883600","","-1.06%"
"06/01/2018","0.903300","0.919000","0.919850","0.901350","","-1.70%"
"05/01/2018","0.918900","0.914550","0.925000","0.897650","","0.47%"
"04/01/2018","0.914600","0.941150","0.946450","0.912900","","-2.78%"
"03/01/2018","0.940800","0.937450","0.956400","0.931950","","0.36%"
"02/01/2018","0.937400","0.915900","0.947500","0.905100","","2.38%"
"01/01/2018","0.915600","0.887600","0.923500","0.881900","","3.19%"
"12/01/2017","0.887300","0.888600","0.897550","0.879050","","-0.14%"
"11/01/2017","0.888500","0.880000","0.902200","0.871600","","0.98%"
"10/01/2017","0.879900","0.888450","0.895650","0.873750","","-1.00%"
"09/01/2017","0.888800","0.909300","0.931800","0.882900","","-2.24%"
"08/01/2017","0.909200","0.906950","0.923650","0.900450","","0.25%"
"07/01/2017","0.906900","0.891800","0.907450","0.873250","","1.94%"
"06/01/2017","0.889600","0.902700","0.918900","0.885450","","-1.44%"
"05/01/2017","0.902600","0.898450","0.907250","0.874250","","0.69%"
"04/01/2017","0.896400","0.897700","0.924850","0.894550","","-0.13%"
"03/01/2017","0.897600","0.886700","0.908200","0.865700","","1.26%"
"02/01/2017","0.886400","0.886550","0.896150","0.869750","","0.00%"
"01/01/2017","0.886400","0.854300","0.892400","0.843050","","3.64%"
"12/01/2016","0.855300","0.873750","0.886000","0.842600","","-2.07%"
"11/01/2016","0.873400","0.953950","0.988350","0.872950","","-8.44%"
"10/01/2016","0.953900","0.986650","0.988050","0.947450","","-3.31%"
"09/01/2016","0.986600","0.966850","0.999100","0.958500","","2.05%"
"08/01/2016","0.966800","0.979650","1.004550","0.965750","","-1.30%"
"07/01/2016","0.979500","0.968150","0.999650","0.930300","","1.21%"
"06/01/2016","0.967800","0.903250","1.009150","0.902200","","7.18%"
"05/01/2016","0.903000","0.940750","0.947550","0.897250","","-3.94%"
"04/01/2016","0.940000","0.888350","0.940900","0.888150","","5.83%"
"03/01/2016","0.888200","0.887400","0.903650","0.872850","","0.11%"
"02/01/2016","0.887200","0.825900","0.900900","0.823100","","7.42%"
"01/01/2016","0.825900","0.831150","0.862250","0.821700","","-0.61%"
"12/01/2015","0.831000","0.812300","0.833350","0.808550","","2.31%"
"11/01/2015","0.812200","0.829350","0.831600","0.808450","","-2.01%"
"10/01/2015","0.828900","0.834200","0.847100","0.822850","","-0.62%"
"09/01/2015","0.834100","0.824900","0.842050","0.824200","","1.13%"
"08/01/2015","0.824800","0.806300","0.858650","0.798100","","2.24%"
"07/01/2015","0.806700","0.816450","0.830550","0.802600","","-1.18%"
"06/01/2015","0.816300","0.805650","0.820100","0.794550","","1.37%"
"05/01/2015","0.805300","0.837700","0.841150","0.803400","","-3.86%"
"04/01/2015","0.837600","0.832450","0.843950","0.827400","","0.64%"
"03/01/2015","0.832300","0.835800","0.845150","0.819400","","-0.48%"
"02/01/2015","0.836300","0.851250","0.857150","0.829950","","-1.76%"
"01/01/2015","0.851300","0.835450","0.863250","0.828100","","1.90%"
"12/01/2014","0.835400","0.842400","0.865300","0.820600","","-0.87%"
"11/01/2014","0.842700","0.889100","0.889450","0.840450","","-5.33%"
"10/01/2014","0.890100","0.912050","0.950650","0.889050","","-2.38%"
"09/01/2014","0.911800","0.961050","0.961100","0.910250","","-5.08%"
"08/01/2014","0.960600","0.972850","0.985150","0.957400","","-1.25%"
"07/01/2014","0.972800","0.986800","0.989550","0.969950","","-1.41%"
"06/01/2014","0.986700","0.982000","0.987850","0.972700","","0.44%"
"05/01/2014","0.982400","0.978100","0.991950","0.970550","","0.48%"
"04/01/2014","0.977700","0.968850","0.986950","0.960300","","0.94%"
"03/01/2014","0.968600","0.984700","0.988200","0.963750","","-1.38%"
"02/01/2014","0.982200","0.980150","0.992550","0.972450","","0.22%"
"01/01/2014","0.980000","0.949750","0.982550","0.948200","","3.22%"
"12/01/2013","0.949400","0.976100","0.984050","0.948450","","-2.71%"
"11/01/2013","0.975800","1.016750","1.024200","0.974500","","-4.02%"
"10/01/2013","1.016700","1.018150","1.035550","1.009950","","-0.11%"
"09/01/2013","1.017800","1.016550","1.025700","0.993850","","-0.07%"
"08/01/2013","1.018500","1.021750","1.043850","1.000400","","-0.30%"
"07/01/2013","1.021600","1.007100","1.024850","0.984750","","1.29%"
"06/01/2013","1.008600","0.994350","1.066200","0.992500","","1.38%"
"05/01/2013","0.994900","1.026250","1.030500","0.963850","","-3.06%"
"04/01/2013","1.026300","1.060700","1.080350","1.000400","","-3.27%"
"03/01/2013","1.061000","1.080300","1.081900","1.033900","","-1.74%"
"02/01/2013","1.079800","1.092450","1.099600","1.056400","","-1.14%"